15165235,s0,T1,T16,A complex of the Escherichia coli cell division proteins ,FtsL,", ",FtsB," and FtsQ forms independently of its localization to the septal region. 
",Complex_formation
15165235,s0,T1,T2,A complex of the Escherichia coli cell division proteins ,FtsL,", FtsB and ",FtsQ," forms independently of its localization to the septal region. 
",Complex_formation
15165235,s0,T16,T2,"A complex of the Escherichia coli cell division proteins FtsL, ",FtsB, and ,FtsQ," forms independently of its localization to the septal region. 
",Complex_formation
15165235,s1,T3,T17,"Three membrane proteins required for cell division in Escherichia coli, ",FtsQ,", FtsL and ",FtsB,", localize to the cell septum.",Not_a_complex
15165235,s1,T3,T4,"Three membrane proteins required for cell division in Escherichia coli, ",FtsQ,", ",FtsL," and FtsB, localize to the cell septum.",Not_a_complex
15165235,s1,T4,T17,"Three membrane proteins required for cell division in Escherichia coli, FtsQ, ",FtsL, and ,FtsB,", localize to the cell septum.",Not_a_complex
15165235,s2,T18,T10,FtsL and ,FtsB,", which each contain a leucine zipper-like sequence, are dependent on each other for this localization, and each of them is dependent on FtsQ. However, FtsQ is found at the cell division site in the absence of FtsL and FtsB. FtsQ, in turn, requires ",FtsK, for its localization.,Not_a_complex
15165235,s2,T19,T10,"FtsL and FtsB, which each contain a leucine zipper-like sequence, are dependent on each other for this localization, and each of them is dependent on FtsQ. However, FtsQ is found at the cell division site in the absence of FtsL and ",FtsB,". FtsQ, in turn, requires ",FtsK, for its localization.,Not_a_complex
15165235,s2,T18,T19,FtsL and ,FtsB,", which each contain a leucine zipper-like sequence, are dependent on each other for this localization, and each of them is dependent on FtsQ. However, FtsQ is found at the cell division site in the absence of FtsL and ",FtsB,". FtsQ, in turn, requires FtsK for its localization.",Not_a_complex
15165235,s2,T5,T10,,FtsL," and FtsB, which each contain a leucine zipper-like sequence, are dependent on each other for this localization, and each of them is dependent on FtsQ. However, FtsQ is found at the cell division site in the absence of FtsL and FtsB. FtsQ, in turn, requires ",FtsK, for its localization.,Not_a_complex
15165235,s2,T5,T18,,FtsL, and ,FtsB,", which each contain a leucine zipper-like sequence, are dependent on each other for this localization, and each of them is dependent on FtsQ. However, FtsQ is found at the cell division site in the absence of FtsL and FtsB. FtsQ, in turn, requires FtsK for its localization.",Not_a_complex
15165235,s2,T5,T19,,FtsL," and FtsB, which each contain a leucine zipper-like sequence, are dependent on each other for this localization, and each of them is dependent on FtsQ. However, FtsQ is found at the cell division site in the absence of FtsL and ",FtsB,". FtsQ, in turn, requires FtsK for its localization.",Not_a_complex
15165235,s2,T5,T6,,FtsL," and FtsB, which each contain a leucine zipper-like sequence, are dependent on each other for this localization, and each of them is dependent on ",FtsQ,". However, FtsQ is found at the cell division site in the absence of FtsL and FtsB. FtsQ, in turn, requires FtsK for its localization.",Not_a_complex
15165235,s2,T5,T7,,FtsL," and FtsB, which each contain a leucine zipper-like sequence, are dependent on each other for this localization, and each of them is dependent on FtsQ. However, ",FtsQ," is found at the cell division site in the absence of FtsL and FtsB. FtsQ, in turn, requires FtsK for its localization.",Not_a_complex
15165235,s2,T5,T8,,FtsL," and FtsB, which each contain a leucine zipper-like sequence, are dependent on each other for this localization, and each of them is dependent on FtsQ. However, FtsQ is found at the cell division site in the absence of ",FtsL," and FtsB. FtsQ, in turn, requires FtsK for its localization.",Not_a_complex
15165235,s2,T5,T9,,FtsL," and FtsB, which each contain a leucine zipper-like sequence, are dependent on each other for this localization, and each of them is dependent on FtsQ. However, FtsQ is found at the cell division site in the absence of FtsL and FtsB. ",FtsQ,", in turn, requires FtsK for its localization.",Not_a_complex
15165235,s2,T6,T10,"FtsL and FtsB, which each contain a leucine zipper-like sequence, are dependent on each other for this localization, and each of them is dependent on ",FtsQ,". However, FtsQ is found at the cell division site in the absence of FtsL and FtsB. FtsQ, in turn, requires ",FtsK, for its localization.,Not_a_complex
15165235,s2,T18,T6,FtsL and ,FtsB,", which each contain a leucine zipper-like sequence, are dependent on each other for this localization, and each of them is dependent on ",FtsQ,". However, FtsQ is found at the cell division site in the absence of FtsL and FtsB. FtsQ, in turn, requires FtsK for its localization.",Not_a_complex
15165235,s2,T6,T19,"FtsL and FtsB, which each contain a leucine zipper-like sequence, are dependent on each other for this localization, and each of them is dependent on ",FtsQ,". However, FtsQ is found at the cell division site in the absence of FtsL and ",FtsB,". FtsQ, in turn, requires FtsK for its localization.",Not_a_complex
15165235,s2,T6,T7,"FtsL and FtsB, which each contain a leucine zipper-like sequence, are dependent on each other for this localization, and each of them is dependent on ",FtsQ,". However, ",FtsQ," is found at the cell division site in the absence of FtsL and FtsB. FtsQ, in turn, requires FtsK for its localization.",Not_a_complex
15165235,s2,T6,T8,"FtsL and FtsB, which each contain a leucine zipper-like sequence, are dependent on each other for this localization, and each of them is dependent on ",FtsQ,". However, FtsQ is found at the cell division site in the absence of ",FtsL," and FtsB. FtsQ, in turn, requires FtsK for its localization.",Not_a_complex
15165235,s2,T6,T9,"FtsL and FtsB, which each contain a leucine zipper-like sequence, are dependent on each other for this localization, and each of them is dependent on ",FtsQ,". However, FtsQ is found at the cell division site in the absence of FtsL and FtsB. ",FtsQ,", in turn, requires FtsK for its localization.",Not_a_complex
15165235,s2,T7,T10,"FtsL and FtsB, which each contain a leucine zipper-like sequence, are dependent on each other for this localization, and each of them is dependent on FtsQ. However, ",FtsQ," is found at the cell division site in the absence of FtsL and FtsB. FtsQ, in turn, requires ",FtsK, for its localization.,Not_a_complex
15165235,s2,T18,T7,FtsL and ,FtsB,", which each contain a leucine zipper-like sequence, are dependent on each other for this localization, and each of them is dependent on FtsQ. However, ",FtsQ," is found at the cell division site in the absence of FtsL and FtsB. FtsQ, in turn, requires FtsK for its localization.",Not_a_complex
15165235,s2,T7,T19,"FtsL and FtsB, which each contain a leucine zipper-like sequence, are dependent on each other for this localization, and each of them is dependent on FtsQ. However, ",FtsQ, is found at the cell division site in the absence of FtsL and ,FtsB,". FtsQ, in turn, requires FtsK for its localization.",Not_a_complex
15165235,s2,T7,T8,"FtsL and FtsB, which each contain a leucine zipper-like sequence, are dependent on each other for this localization, and each of them is dependent on FtsQ. However, ",FtsQ, is found at the cell division site in the absence of ,FtsL," and FtsB. FtsQ, in turn, requires FtsK for its localization.",Not_a_complex
15165235,s2,T7,T9,"FtsL and FtsB, which each contain a leucine zipper-like sequence, are dependent on each other for this localization, and each of them is dependent on FtsQ. However, ",FtsQ, is found at the cell division site in the absence of FtsL and FtsB. ,FtsQ,", in turn, requires FtsK for its localization.",Not_a_complex
15165235,s2,T8,T10,"FtsL and FtsB, which each contain a leucine zipper-like sequence, are dependent on each other for this localization, and each of them is dependent on FtsQ. However, FtsQ is found at the cell division site in the absence of ",FtsL," and FtsB. FtsQ, in turn, requires ",FtsK, for its localization.,Not_a_complex
15165235,s2,T18,T8,FtsL and ,FtsB,", which each contain a leucine zipper-like sequence, are dependent on each other for this localization, and each of them is dependent on FtsQ. However, FtsQ is found at the cell division site in the absence of ",FtsL," and FtsB. FtsQ, in turn, requires FtsK for its localization.",Not_a_complex
15165235,s2,T8,T19,"FtsL and FtsB, which each contain a leucine zipper-like sequence, are dependent on each other for this localization, and each of them is dependent on FtsQ. However, FtsQ is found at the cell division site in the absence of ",FtsL, and ,FtsB,". FtsQ, in turn, requires FtsK for its localization.",Not_a_complex
15165235,s2,T8,T9,"FtsL and FtsB, which each contain a leucine zipper-like sequence, are dependent on each other for this localization, and each of them is dependent on FtsQ. However, FtsQ is found at the cell division site in the absence of ",FtsL, and FtsB. ,FtsQ,", in turn, requires FtsK for its localization.",Not_a_complex
15165235,s2,T9,T10,"FtsL and FtsB, which each contain a leucine zipper-like sequence, are dependent on each other for this localization, and each of them is dependent on FtsQ. However, FtsQ is found at the cell division site in the absence of FtsL and FtsB. ",FtsQ,", in turn, requires ",FtsK, for its localization.,Not_a_complex
15165235,s2,T18,T9,FtsL and ,FtsB,", which each contain a leucine zipper-like sequence, are dependent on each other for this localization, and each of them is dependent on FtsQ. However, FtsQ is found at the cell division site in the absence of FtsL and FtsB. ",FtsQ,", in turn, requires FtsK for its localization.",Not_a_complex
15165235,s2,T19,T9,"FtsL and FtsB, which each contain a leucine zipper-like sequence, are dependent on each other for this localization, and each of them is dependent on FtsQ. However, FtsQ is found at the cell division site in the absence of FtsL and ",FtsB,. ,FtsQ,", in turn, requires FtsK for its localization.",Not_a_complex
15165235,s3,T11,T12,"Here, we show that ",FtsL,", FtsB and ",FtsQ, form a complex in vivo.,Complex_formation
15165235,s3,T11,T20,"Here, we show that ",FtsL,", ",FtsB, and FtsQ form a complex in vivo.,Complex_formation
15165235,s3,T20,T12,"Here, we show that FtsL, ",FtsB, and ,FtsQ, form a complex in vivo.,Complex_formation
15165235,s5,T14,T15,These findings indicate that the ,FtsL,", FtsB, ",FtsQ, interactions can take place in cells before movement to the mid-cell and that migration to this position might occur only after the formation of the complex.,Complex_formation
15165235,s5,T14,T21,These findings indicate that the ,FtsL,", ",FtsB,", FtsQ interactions can take place in cells before movement to the mid-cell and that migration to this position might occur only after the formation of the complex.",Complex_formation
15165235,s5,T21,T15,"These findings indicate that the FtsL, ",FtsB,", ",FtsQ, interactions can take place in cells before movement to the mid-cell and that migration to this position might occur only after the formation of the complex.,Complex_formation
