19909498_37,s2,T2,T3,"To our knowledge, the ",Spc98,-induced toxicity in ,rad23," dsk2 mutant cells is the second piece of evidence linking Dsk2 and Rad23 to SPB duplication, which will help us to unravel the specific role of Rad23 and Dsk2 in this process.",Not_a_complex
19909498_37,s2,T2,T4,"To our knowledge, the ",Spc98,-induced toxicity in rad23 ,dsk2," mutant cells is the second piece of evidence linking Dsk2 and Rad23 to SPB duplication, which will help us to unravel the specific role of Rad23 and Dsk2 in this process.",Not_a_complex
19909498_37,s2,T2,T5,"To our knowledge, the ",Spc98,-induced toxicity in rad23 dsk2 mutant cells is the second piece of evidence linking ,Dsk2," and Rad23 to SPB duplication, which will help us to unravel the specific role of Rad23 and Dsk2 in this process.",Not_a_complex
19909498_37,s2,T2,T6,"To our knowledge, the ",Spc98,-induced toxicity in rad23 dsk2 mutant cells is the second piece of evidence linking Dsk2 and ,Rad23," to SPB duplication, which will help us to unravel the specific role of Rad23 and Dsk2 in this process.",Not_a_complex
19909498_37,s2,T2,T7,"To our knowledge, the ",Spc98,"-induced toxicity in rad23 dsk2 mutant cells is the second piece of evidence linking Dsk2 and Rad23 to SPB duplication, which will help us to unravel the specific role of ",Rad23, and Dsk2 in this process.,Not_a_complex
19909498_37,s2,T2,T8,"To our knowledge, the ",Spc98,"-induced toxicity in rad23 dsk2 mutant cells is the second piece of evidence linking Dsk2 and Rad23 to SPB duplication, which will help us to unravel the specific role of Rad23 and ",Dsk2, in this process.,Not_a_complex
19909498_37,s2,T3,T4,"To our knowledge, the Spc98-induced toxicity in ",rad23, ,dsk2," mutant cells is the second piece of evidence linking Dsk2 and Rad23 to SPB duplication, which will help us to unravel the specific role of Rad23 and Dsk2 in this process.",Not_a_complex
19909498_37,s2,T3,T5,"To our knowledge, the Spc98-induced toxicity in ",rad23, dsk2 mutant cells is the second piece of evidence linking ,Dsk2," and Rad23 to SPB duplication, which will help us to unravel the specific role of Rad23 and Dsk2 in this process.",Not_a_complex
19909498_37,s2,T3,T6,"To our knowledge, the Spc98-induced toxicity in ",rad23, dsk2 mutant cells is the second piece of evidence linking Dsk2 and ,Rad23," to SPB duplication, which will help us to unravel the specific role of Rad23 and Dsk2 in this process.",Not_a_complex
19909498_37,s2,T3,T7,"To our knowledge, the Spc98-induced toxicity in ",rad23," dsk2 mutant cells is the second piece of evidence linking Dsk2 and Rad23 to SPB duplication, which will help us to unravel the specific role of ",Rad23, and Dsk2 in this process.,Not_a_complex
19909498_37,s2,T3,T8,"To our knowledge, the Spc98-induced toxicity in ",rad23," dsk2 mutant cells is the second piece of evidence linking Dsk2 and Rad23 to SPB duplication, which will help us to unravel the specific role of Rad23 and ",Dsk2, in this process.,Not_a_complex
19909498_37,s2,T4,T5,"To our knowledge, the Spc98-induced toxicity in rad23 ",dsk2, mutant cells is the second piece of evidence linking ,Dsk2," and Rad23 to SPB duplication, which will help us to unravel the specific role of Rad23 and Dsk2 in this process.",Not_a_complex
19909498_37,s2,T4,T6,"To our knowledge, the Spc98-induced toxicity in rad23 ",dsk2, mutant cells is the second piece of evidence linking Dsk2 and ,Rad23," to SPB duplication, which will help us to unravel the specific role of Rad23 and Dsk2 in this process.",Not_a_complex
19909498_37,s2,T4,T7,"To our knowledge, the Spc98-induced toxicity in rad23 ",dsk2," mutant cells is the second piece of evidence linking Dsk2 and Rad23 to SPB duplication, which will help us to unravel the specific role of ",Rad23, and Dsk2 in this process.,Not_a_complex
19909498_37,s2,T4,T8,"To our knowledge, the Spc98-induced toxicity in rad23 ",dsk2," mutant cells is the second piece of evidence linking Dsk2 and Rad23 to SPB duplication, which will help us to unravel the specific role of Rad23 and ",Dsk2, in this process.,Not_a_complex
19909498_37,s2,T5,T6,"To our knowledge, the Spc98-induced toxicity in rad23 dsk2 mutant cells is the second piece of evidence linking ",Dsk2, and ,Rad23," to SPB duplication, which will help us to unravel the specific role of Rad23 and Dsk2 in this process.",Not_a_complex
19909498_37,s2,T5,T7,"To our knowledge, the Spc98-induced toxicity in rad23 dsk2 mutant cells is the second piece of evidence linking ",Dsk2," and Rad23 to SPB duplication, which will help us to unravel the specific role of ",Rad23, and Dsk2 in this process.,Not_a_complex
19909498_37,s2,T5,T8,"To our knowledge, the Spc98-induced toxicity in rad23 dsk2 mutant cells is the second piece of evidence linking ",Dsk2," and Rad23 to SPB duplication, which will help us to unravel the specific role of Rad23 and ",Dsk2, in this process.,Not_a_complex
19909498_37,s2,T6,T7,"To our knowledge, the Spc98-induced toxicity in rad23 dsk2 mutant cells is the second piece of evidence linking Dsk2 and ",Rad23," to SPB duplication, which will help us to unravel the specific role of ",Rad23, and Dsk2 in this process.,Not_a_complex
19909498_37,s2,T6,T8,"To our knowledge, the Spc98-induced toxicity in rad23 dsk2 mutant cells is the second piece of evidence linking Dsk2 and ",Rad23," to SPB duplication, which will help us to unravel the specific role of Rad23 and ",Dsk2, in this process.,Not_a_complex
19909498_37,s2,T7,T8,"To our knowledge, the Spc98-induced toxicity in rad23 dsk2 mutant cells is the second piece of evidence linking Dsk2 and Rad23 to SPB duplication, which will help us to unravel the specific role of ",Rad23, and ,Dsk2, in this process.,Not_a_complex
19909498_37,s4,T10,T11,The creation of RNAi knock-down libraries and ORF overexpression collections would extend the use of SDL screens in the ,Ub,/,proteasome," system to higher eukaryotes.
",Not_a_complex
