9032232,s0,T1,T2,Effect of association with ,adenylyl cyclase-associated protein, on the interaction of yeast ,adenylyl cyclase," with Ras protein. 
",Complex_formation
9032232,s0,T2,T12,Effect of association with adenylyl cyclase-associated protein on the interaction of yeast ,adenylyl cyclase, with ,Ras," protein. 
",Complex_formation
9032232,s0,T1,T12,Effect of association with ,adenylyl cyclase-associated protein, on the interaction of yeast adenylyl cyclase with ,Ras," protein. 
",Not_a_complex
9032232,s1,T13,T3,Posttranslational modification of ,Ras," protein has been shown to be critical for interaction with its effector molecules, including Saccharomyces cerevisiae ",adenylyl cyclase,.,Complex_formation
9032232,s3,T15,T5,"In this study, we used a reconstituted system with purified adenylyl cyclase and Ras proteins carrying various degrees of the modification to show that the posttranslational modification, especially the farnesylation step, is responsible for 5- to 10-fold increase in ",Ras,-dependent activation of ,adenylyl cyclase, activity even though it has no significant effect on their binding affinity.,Complex_formation
9032232,s3,T14,T15,"In this study, we used a reconstituted system with purified adenylyl cyclase and ",Ras," proteins carrying various degrees of the modification to show that the posttranslational modification, especially the farnesylation step, is responsible for 5- to 10-fold increase in ",Ras,-dependent activation of adenylyl cyclase activity even though it has no significant effect on their binding affinity.,Not_a_complex
9032232,s3,T4,T14,"In this study, we used a reconstituted system with purified ",adenylyl cyclase, and ,Ras," proteins carrying various degrees of the modification to show that the posttranslational modification, especially the farnesylation step, is responsible for 5- to 10-fold increase in Ras-dependent activation of adenylyl cyclase activity even though it has no significant effect on their binding affinity.",Not_a_complex
9032232,s3,T4,T15,"In this study, we used a reconstituted system with purified ",adenylyl cyclase," and Ras proteins carrying various degrees of the modification to show that the posttranslational modification, especially the farnesylation step, is responsible for 5- to 10-fold increase in ",Ras,-dependent activation of adenylyl cyclase activity even though it has no significant effect on their binding affinity.,Not_a_complex
9032232,s3,T4,T5,"In this study, we used a reconstituted system with purified ",adenylyl cyclase," and Ras proteins carrying various degrees of the modification to show that the posttranslational modification, especially the farnesylation step, is responsible for 5- to 10-fold increase in Ras-dependent activation of ",adenylyl cyclase, activity even though it has no significant effect on their binding affinity.,Not_a_complex
9032232,s3,T14,T5,"In this study, we used a reconstituted system with purified adenylyl cyclase and ",Ras," proteins carrying various degrees of the modification to show that the posttranslational modification, especially the farnesylation step, is responsible for 5- to 10-fold increase in Ras-dependent activation of ",adenylyl cyclase, activity even though it has no significant effect on their binding affinity.,Not_a_complex
9032232,s4,T6,T16,The stimulatory effect of farnesylation is found to depend on the association of ,adenylyl cyclase, with 70-kDa adenylyl cyclase-associated protein (,CAP,"), which was known to be required for proper in vivo response of adenylyl cyclase to Ras protein, by comparing the levels of Ras-dependent activation of purified adenylyl cyclase with and without bound CAP.",Complex_formation
