26496426_19,s0,T2,T3,"Further to an interactomic screen carried out by Bergiers et al. to identify Hoxa2 partner proteins, the ",Hoxa2, protein from the mouse was shown to interact with the human ,RCHY1, and to induce its destabilization.,Complex_formation
26496426_19,s0,T1,T2,Further to an interactomic screen carried out by Bergiers et al. to identify ,Hoxa2," partner proteins, the ",Hoxa2, protein from the mouse was shown to interact with the human RCHY1 and to induce its destabilization.,Not_a_complex
26496426_19,s0,T1,T3,Further to an interactomic screen carried out by Bergiers et al. to identify ,Hoxa2," partner proteins, the Hoxa2 protein from the mouse was shown to interact with the human ",RCHY1, and to induce its destabilization.,Not_a_complex
26496426_19,s2,T13,T14,"To this end, we transiently transfected HEK293T cells to express human FLAG-RCHY1 and ",GST, or human ,GST,-HOXA2 fusion proteins.,Not_a_complex
26496426_19,s2,T4,T13,"To this end, we transiently transfected HEK293T cells to express human FLAG-",RCHY1, and ,GST, or human GST-HOXA2 fusion proteins.,Not_a_complex
26496426_19,s2,T4,T14,"To this end, we transiently transfected HEK293T cells to express human FLAG-",RCHY1, and GST or human ,GST,-HOXA2 fusion proteins.,Not_a_complex
26496426_19,s2,T4,T5,"To this end, we transiently transfected HEK293T cells to express human FLAG-",RCHY1, and GST or human GST-,HOXA2, fusion proteins.,Not_a_complex
26496426_19,s2,T13,T5,"To this end, we transiently transfected HEK293T cells to express human FLAG-RCHY1 and ",GST, or human GST-,HOXA2, fusion proteins.,Not_a_complex
26496426_19,s2,T14,T5,"To this end, we transiently transfected HEK293T cells to express human FLAG-RCHY1 and GST or human ",GST,-,HOXA2, fusion proteins.,Not_a_complex
26496426_19,s3,T10,T11,"As shown in Fig 1A, the level of RCHY1 was considerably decreased in the presence of HOXA2 supporting that, like for the murine Hoxa2, expression of the human ",HOXA2, had a negative effect on ,RCHY1," protein accumulation.
",Not_a_complex
26496426_19,s3,T7,T10,"As shown in Fig 1A, the level of ",RCHY1," was considerably decreased in the presence of HOXA2 supporting that, like for the murine Hoxa2, expression of the human ",HOXA2," had a negative effect on RCHY1 protein accumulation.
",Not_a_complex
26496426_19,s3,T7,T11,"As shown in Fig 1A, the level of ",RCHY1," was considerably decreased in the presence of HOXA2 supporting that, like for the murine Hoxa2, expression of the human HOXA2 had a negative effect on ",RCHY1," protein accumulation.
",Not_a_complex
26496426_19,s3,T7,T8,"As shown in Fig 1A, the level of ",RCHY1, was considerably decreased in the presence of ,HOXA2," supporting that, like for the murine Hoxa2, expression of the human HOXA2 had a negative effect on RCHY1 protein accumulation.
",Not_a_complex
26496426_19,s3,T7,T9,"As shown in Fig 1A, the level of ",RCHY1," was considerably decreased in the presence of HOXA2 supporting that, like for the murine ",Hoxa2,", expression of the human HOXA2 had a negative effect on RCHY1 protein accumulation.
",Not_a_complex
26496426_19,s3,T8,T10,"As shown in Fig 1A, the level of RCHY1 was considerably decreased in the presence of ",HOXA2," supporting that, like for the murine Hoxa2, expression of the human ",HOXA2," had a negative effect on RCHY1 protein accumulation.
",Not_a_complex
26496426_19,s3,T8,T11,"As shown in Fig 1A, the level of RCHY1 was considerably decreased in the presence of ",HOXA2," supporting that, like for the murine Hoxa2, expression of the human HOXA2 had a negative effect on ",RCHY1," protein accumulation.
",Not_a_complex
26496426_19,s3,T8,T9,"As shown in Fig 1A, the level of RCHY1 was considerably decreased in the presence of ",HOXA2," supporting that, like for the murine ",Hoxa2,", expression of the human HOXA2 had a negative effect on RCHY1 protein accumulation.
",Not_a_complex
26496426_19,s3,T9,T10,"As shown in Fig 1A, the level of RCHY1 was considerably decreased in the presence of HOXA2 supporting that, like for the murine ",Hoxa2,", expression of the human ",HOXA2," had a negative effect on RCHY1 protein accumulation.
",Not_a_complex
26496426_19,s3,T9,T11,"As shown in Fig 1A, the level of RCHY1 was considerably decreased in the presence of HOXA2 supporting that, like for the murine ",Hoxa2,", expression of the human HOXA2 had a negative effect on ",RCHY1," protein accumulation.
",Not_a_complex
