12835311_37,s0,T1,T2,An affinity-purified antibody (Ab62) raised against a ,delta-catenin," peptide corresponding to aa 434-530 was described previously, and monoclonal ",delta-catenin," antibody was from Transduction Laboratories, Inc. Polyclonal anticortactin antibody was from Santa Cruz Biotechnology, Inc., monoclonal anti-MAP2 was from Chemicon, Inc., monoclonal antitubulin was from Sigma-Aldrich. Monoclonal anti-HA antibody was from Santa Cruz Biotechnology, Inc. Normal mouse IgG was from Santa Cruz Biotechnology, Inc., and Alexa 594 goat anti-rabbit IgG, Alexa 488 goat anti-mouse IgG, and Phalloidin 594 were from Molecular Probes, Inc.
",Not_a_complex
12835311_37,s0,T1,T3,An affinity-purified antibody (Ab62) raised against a ,delta-catenin," peptide corresponding to aa 434-530 was described previously, and monoclonal delta-catenin antibody was from Transduction Laboratories, Inc. Polyclonal anticortactin antibody was from Santa Cruz Biotechnology, Inc., monoclonal anti-",MAP2," was from Chemicon, Inc., monoclonal antitubulin was from Sigma-Aldrich. Monoclonal anti-HA antibody was from Santa Cruz Biotechnology, Inc. Normal mouse IgG was from Santa Cruz Biotechnology, Inc., and Alexa 594 goat anti-rabbit IgG, Alexa 488 goat anti-mouse IgG, and Phalloidin 594 were from Molecular Probes, Inc.
",Not_a_complex
12835311_37,s0,T1,T5,An affinity-purified antibody (Ab62) raised against a ,delta-catenin," peptide corresponding to aa 434-530 was described previously, and monoclonal delta-catenin antibody was from Transduction Laboratories, Inc. Polyclonal anticortactin antibody was from Santa Cruz Biotechnology, Inc., monoclonal anti-MAP2 was from Chemicon, Inc., monoclonal anti",tubulin," was from Sigma-Aldrich. Monoclonal anti-HA antibody was from Santa Cruz Biotechnology, Inc. Normal mouse IgG was from Santa Cruz Biotechnology, Inc., and Alexa 594 goat anti-rabbit IgG, Alexa 488 goat anti-mouse IgG, and Phalloidin 594 were from Molecular Probes, Inc.
",Not_a_complex
12835311_37,s0,T1,T6,An affinity-purified antibody (Ab62) raised against a ,delta-catenin," peptide corresponding to aa 434-530 was described previously, and monoclonal delta-catenin antibody was from Transduction Laboratories, Inc. Polyclonal anti",cortactin," antibody was from Santa Cruz Biotechnology, Inc., monoclonal anti-MAP2 was from Chemicon, Inc., monoclonal antitubulin was from Sigma-Aldrich. Monoclonal anti-HA antibody was from Santa Cruz Biotechnology, Inc. Normal mouse IgG was from Santa Cruz Biotechnology, Inc., and Alexa 594 goat anti-rabbit IgG, Alexa 488 goat anti-mouse IgG, and Phalloidin 594 were from Molecular Probes, Inc.
",Not_a_complex
12835311_37,s0,T2,T3,"An affinity-purified antibody (Ab62) raised against a delta-catenin peptide corresponding to aa 434-530 was described previously, and monoclonal ",delta-catenin," antibody was from Transduction Laboratories, Inc. Polyclonal anticortactin antibody was from Santa Cruz Biotechnology, Inc., monoclonal anti-",MAP2," was from Chemicon, Inc., monoclonal antitubulin was from Sigma-Aldrich. Monoclonal anti-HA antibody was from Santa Cruz Biotechnology, Inc. Normal mouse IgG was from Santa Cruz Biotechnology, Inc., and Alexa 594 goat anti-rabbit IgG, Alexa 488 goat anti-mouse IgG, and Phalloidin 594 were from Molecular Probes, Inc.
",Not_a_complex
12835311_37,s0,T2,T5,"An affinity-purified antibody (Ab62) raised against a delta-catenin peptide corresponding to aa 434-530 was described previously, and monoclonal ",delta-catenin," antibody was from Transduction Laboratories, Inc. Polyclonal anticortactin antibody was from Santa Cruz Biotechnology, Inc., monoclonal anti-MAP2 was from Chemicon, Inc., monoclonal anti",tubulin," was from Sigma-Aldrich. Monoclonal anti-HA antibody was from Santa Cruz Biotechnology, Inc. Normal mouse IgG was from Santa Cruz Biotechnology, Inc., and Alexa 594 goat anti-rabbit IgG, Alexa 488 goat anti-mouse IgG, and Phalloidin 594 were from Molecular Probes, Inc.
",Not_a_complex
12835311_37,s0,T2,T6,"An affinity-purified antibody (Ab62) raised against a delta-catenin peptide corresponding to aa 434-530 was described previously, and monoclonal ",delta-catenin," antibody was from Transduction Laboratories, Inc. Polyclonal anti",cortactin," antibody was from Santa Cruz Biotechnology, Inc., monoclonal anti-MAP2 was from Chemicon, Inc., monoclonal antitubulin was from Sigma-Aldrich. Monoclonal anti-HA antibody was from Santa Cruz Biotechnology, Inc. Normal mouse IgG was from Santa Cruz Biotechnology, Inc., and Alexa 594 goat anti-rabbit IgG, Alexa 488 goat anti-mouse IgG, and Phalloidin 594 were from Molecular Probes, Inc.
",Not_a_complex
12835311_37,s0,T3,T5,"An affinity-purified antibody (Ab62) raised against a delta-catenin peptide corresponding to aa 434-530 was described previously, and monoclonal delta-catenin antibody was from Transduction Laboratories, Inc. Polyclonal anticortactin antibody was from Santa Cruz Biotechnology, Inc., monoclonal anti-",MAP2," was from Chemicon, Inc., monoclonal anti",tubulin," was from Sigma-Aldrich. Monoclonal anti-HA antibody was from Santa Cruz Biotechnology, Inc. Normal mouse IgG was from Santa Cruz Biotechnology, Inc., and Alexa 594 goat anti-rabbit IgG, Alexa 488 goat anti-mouse IgG, and Phalloidin 594 were from Molecular Probes, Inc.
",Not_a_complex
12835311_37,s0,T6,T3,"An affinity-purified antibody (Ab62) raised against a delta-catenin peptide corresponding to aa 434-530 was described previously, and monoclonal delta-catenin antibody was from Transduction Laboratories, Inc. Polyclonal anti",cortactin," antibody was from Santa Cruz Biotechnology, Inc., monoclonal anti-",MAP2," was from Chemicon, Inc., monoclonal antitubulin was from Sigma-Aldrich. Monoclonal anti-HA antibody was from Santa Cruz Biotechnology, Inc. Normal mouse IgG was from Santa Cruz Biotechnology, Inc., and Alexa 594 goat anti-rabbit IgG, Alexa 488 goat anti-mouse IgG, and Phalloidin 594 were from Molecular Probes, Inc.
",Not_a_complex
12835311_37,s0,T6,T5,"An affinity-purified antibody (Ab62) raised against a delta-catenin peptide corresponding to aa 434-530 was described previously, and monoclonal delta-catenin antibody was from Transduction Laboratories, Inc. Polyclonal anti",cortactin," antibody was from Santa Cruz Biotechnology, Inc., monoclonal anti-MAP2 was from Chemicon, Inc., monoclonal anti",tubulin," was from Sigma-Aldrich. Monoclonal anti-HA antibody was from Santa Cruz Biotechnology, Inc. Normal mouse IgG was from Santa Cruz Biotechnology, Inc., and Alexa 594 goat anti-rabbit IgG, Alexa 488 goat anti-mouse IgG, and Phalloidin 594 were from Molecular Probes, Inc.
",Not_a_complex
12835311_37,s1,T7,T10,"An affinity-purified antibody (Ab62) raised against a delta-catenin peptide corresponding to aa 434-530 was described previously, and monoclonal delta-catenin antibody was from Transduction Laboratories, Inc. Polyclonal anticortactin antibody was from Santa Cruz Biotechnology, Inc., monoclonal anti-MAP2 was from Chemicon, Inc., monoclonal antitubulin was from Sigma-Aldrich. Monoclonal anti-",HA," antibody was from Santa Cruz Biotechnology, Inc. Normal mouse IgG was from Santa Cruz Biotechnology, Inc., and Alexa 594 goat anti-rabbit IgG, Alexa 488 goat anti-mouse ",IgG,", and Phalloidin 594 were from Molecular Probes, Inc.
",Not_a_complex
12835311_37,s1,T7,T8,"An affinity-purified antibody (Ab62) raised against a delta-catenin peptide corresponding to aa 434-530 was described previously, and monoclonal delta-catenin antibody was from Transduction Laboratories, Inc. Polyclonal anticortactin antibody was from Santa Cruz Biotechnology, Inc., monoclonal anti-MAP2 was from Chemicon, Inc., monoclonal antitubulin was from Sigma-Aldrich. Monoclonal anti-",HA," antibody was from Santa Cruz Biotechnology, Inc. Normal mouse ",IgG," was from Santa Cruz Biotechnology, Inc., and Alexa 594 goat anti-rabbit IgG, Alexa 488 goat anti-mouse IgG, and Phalloidin 594 were from Molecular Probes, Inc.
",Not_a_complex
12835311_37,s1,T7,T9,"An affinity-purified antibody (Ab62) raised against a delta-catenin peptide corresponding to aa 434-530 was described previously, and monoclonal delta-catenin antibody was from Transduction Laboratories, Inc. Polyclonal anticortactin antibody was from Santa Cruz Biotechnology, Inc., monoclonal anti-MAP2 was from Chemicon, Inc., monoclonal antitubulin was from Sigma-Aldrich. Monoclonal anti-",HA," antibody was from Santa Cruz Biotechnology, Inc. Normal mouse IgG was from Santa Cruz Biotechnology, Inc., and Alexa 594 goat anti-rabbit ",IgG,", Alexa 488 goat anti-mouse IgG, and Phalloidin 594 were from Molecular Probes, Inc.
",Not_a_complex
12835311_37,s1,T8,T10,"An affinity-purified antibody (Ab62) raised against a delta-catenin peptide corresponding to aa 434-530 was described previously, and monoclonal delta-catenin antibody was from Transduction Laboratories, Inc. Polyclonal anticortactin antibody was from Santa Cruz Biotechnology, Inc., monoclonal anti-MAP2 was from Chemicon, Inc., monoclonal antitubulin was from Sigma-Aldrich. Monoclonal anti-HA antibody was from Santa Cruz Biotechnology, Inc. Normal mouse ",IgG," was from Santa Cruz Biotechnology, Inc., and Alexa 594 goat anti-rabbit IgG, Alexa 488 goat anti-mouse ",IgG,", and Phalloidin 594 were from Molecular Probes, Inc.
",Not_a_complex
12835311_37,s1,T8,T9,"An affinity-purified antibody (Ab62) raised against a delta-catenin peptide corresponding to aa 434-530 was described previously, and monoclonal delta-catenin antibody was from Transduction Laboratories, Inc. Polyclonal anticortactin antibody was from Santa Cruz Biotechnology, Inc., monoclonal anti-MAP2 was from Chemicon, Inc., monoclonal antitubulin was from Sigma-Aldrich. Monoclonal anti-HA antibody was from Santa Cruz Biotechnology, Inc. Normal mouse ",IgG," was from Santa Cruz Biotechnology, Inc., and Alexa 594 goat anti-rabbit ",IgG,", Alexa 488 goat anti-mouse IgG, and Phalloidin 594 were from Molecular Probes, Inc.
",Not_a_complex
12835311_37,s1,T9,T10,"An affinity-purified antibody (Ab62) raised against a delta-catenin peptide corresponding to aa 434-530 was described previously, and monoclonal delta-catenin antibody was from Transduction Laboratories, Inc. Polyclonal anticortactin antibody was from Santa Cruz Biotechnology, Inc., monoclonal anti-MAP2 was from Chemicon, Inc., monoclonal antitubulin was from Sigma-Aldrich. Monoclonal anti-HA antibody was from Santa Cruz Biotechnology, Inc. Normal mouse IgG was from Santa Cruz Biotechnology, Inc., and Alexa 594 goat anti-rabbit ",IgG,", Alexa 488 goat anti-mouse ",IgG,", and Phalloidin 594 were from Molecular Probes, Inc.
",Not_a_complex
