18226226_30,s0,T1,T2,Our study on the growth-promoting function of ,bunA," in Drosophila may influence the perspective on the mammalian homologs of Bun, especially on ",TSC-22, (TSC22D1).,Not_a_complex
18226226_30,s0,T1,T25,Our study on the growth-promoting function of ,bunA, in Drosophila may influence the perspective on the mammalian homologs of ,Bun,", especially on TSC-22 (TSC22D1).",Not_a_complex
18226226_30,s0,T1,T3,Our study on the growth-promoting function of ,bunA," in Drosophila may influence the perspective on the mammalian homologs of Bun, especially on TSC-22 (",TSC22D1,).,Not_a_complex
18226226_30,s0,T25,T2,Our study on the growth-promoting function of bunA in Drosophila may influence the perspective on the mammalian homologs of ,Bun,", especially on ",TSC-22, (TSC22D1).,Not_a_complex
18226226_30,s0,T2,T3,"Our study on the growth-promoting function of bunA in Drosophila may influence the perspective on the mammalian homologs of Bun, especially on ",TSC-22, (,TSC22D1,).,Not_a_complex
18226226_30,s0,T25,T3,Our study on the growth-promoting function of bunA in Drosophila may influence the perspective on the mammalian homologs of ,Bun,", especially on TSC-22 (",TSC22D1,).,Not_a_complex
18226226_30,s1,T26,T10,Whereas the longer isoform of TSC-22 (TSC22D1.1) is similar to BunA (and ,BunF,"), the shorter isoform (TSC22D1.2) resembles BunB, BunD, and BunE. Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that ",BunA, behaves rather opposite to a tumor suppressor.,Not_a_complex
18226226_30,s1,T27,T10,"Whereas the longer isoform of TSC-22 (TSC22D1.1) is similar to BunA (and BunF), the shorter isoform (TSC22D1.2) resembles ",BunB,", BunD, and BunE. Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that ",BunA, behaves rather opposite to a tumor suppressor.,Not_a_complex
18226226_30,s1,T28,T10,"Whereas the longer isoform of TSC-22 (TSC22D1.1) is similar to BunA (and BunF), the shorter isoform (TSC22D1.2) resembles BunB, ",BunD,", and BunE. Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that ",BunA, behaves rather opposite to a tumor suppressor.,Not_a_complex
18226226_30,s1,T29,T10,"Whereas the longer isoform of TSC-22 (TSC22D1.1) is similar to BunA (and BunF), the shorter isoform (TSC22D1.2) resembles BunB, BunD, and ",BunE,". Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that ",BunA, behaves rather opposite to a tumor suppressor.,Not_a_complex
18226226_30,s1,T26,T27,Whereas the longer isoform of TSC-22 (TSC22D1.1) is similar to BunA (and ,BunF,"), the shorter isoform (TSC22D1.2) resembles ",BunB,", BunD, and BunE. Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
