25703348_34,s0,T1,T2,"In mammals, ",SCML2, is an ,MBT domain-containing, protein that is essential in the male germline.,Not_a_complex
25703348_34,s2,T4,T5,Although a previous study suggested that mammalian ,Scm, homologs have redundant functions and compensate for the loss of ,Scmh1,", in this study we found that the phenotype of the Scml2-KO is distinct from that of the Scmh1-KO and that the function of SCML2 is not redundant with that of SCMH1.",Not_a_complex
25703348_34,s2,T4,T6,Although a previous study suggested that mammalian ,Scm," homologs have redundant functions and compensate for the loss of Scmh1, in this study we found that the phenotype of the ",Scml2,-KO is distinct from that of the Scmh1-KO and that the function of SCML2 is not redundant with that of SCMH1.,Not_a_complex
25703348_34,s2,T4,T7,Although a previous study suggested that mammalian ,Scm," homologs have redundant functions and compensate for the loss of Scmh1, in this study we found that the phenotype of the Scml2-KO is distinct from that of the ",Scmh1,-KO and that the function of SCML2 is not redundant with that of SCMH1.,Not_a_complex
25703348_34,s2,T4,T8,Although a previous study suggested that mammalian ,Scm," homologs have redundant functions and compensate for the loss of Scmh1, in this study we found that the phenotype of the Scml2-KO is distinct from that of the Scmh1-KO and that the function of ",SCML2, is not redundant with that of SCMH1.,Not_a_complex
25703348_34,s2,T4,T9,Although a previous study suggested that mammalian ,Scm," homologs have redundant functions and compensate for the loss of Scmh1, in this study we found that the phenotype of the Scml2-KO is distinct from that of the Scmh1-KO and that the function of SCML2 is not redundant with that of ",SCMH1,.,Not_a_complex
25703348_34,s2,T5,T6,Although a previous study suggested that mammalian Scm homologs have redundant functions and compensate for the loss of ,Scmh1,", in this study we found that the phenotype of the ",Scml2,-KO is distinct from that of the Scmh1-KO and that the function of SCML2 is not redundant with that of SCMH1.,Not_a_complex
25703348_34,s2,T5,T7,Although a previous study suggested that mammalian Scm homologs have redundant functions and compensate for the loss of ,Scmh1,", in this study we found that the phenotype of the Scml2-KO is distinct from that of the ",Scmh1,-KO and that the function of SCML2 is not redundant with that of SCMH1.,Not_a_complex
25703348_34,s2,T5,T8,Although a previous study suggested that mammalian Scm homologs have redundant functions and compensate for the loss of ,Scmh1,", in this study we found that the phenotype of the Scml2-KO is distinct from that of the Scmh1-KO and that the function of ",SCML2, is not redundant with that of SCMH1.,Not_a_complex
25703348_34,s2,T5,T9,Although a previous study suggested that mammalian Scm homologs have redundant functions and compensate for the loss of ,Scmh1,", in this study we found that the phenotype of the Scml2-KO is distinct from that of the Scmh1-KO and that the function of SCML2 is not redundant with that of ",SCMH1,.,Not_a_complex
25703348_34,s2,T6,T7,"Although a previous study suggested that mammalian Scm homologs have redundant functions and compensate for the loss of Scmh1, in this study we found that the phenotype of the ",Scml2,-KO is distinct from that of the ,Scmh1,-KO and that the function of SCML2 is not redundant with that of SCMH1.,Not_a_complex
25703348_34,s2,T6,T8,"Although a previous study suggested that mammalian Scm homologs have redundant functions and compensate for the loss of Scmh1, in this study we found that the phenotype of the ",Scml2,-KO is distinct from that of the Scmh1-KO and that the function of ,SCML2, is not redundant with that of SCMH1.,Not_a_complex
25703348_34,s2,T6,T9,"Although a previous study suggested that mammalian Scm homologs have redundant functions and compensate for the loss of Scmh1, in this study we found that the phenotype of the ",Scml2,-KO is distinct from that of the Scmh1-KO and that the function of SCML2 is not redundant with that of ,SCMH1,.,Not_a_complex
25703348_34,s2,T7,T8,"Although a previous study suggested that mammalian Scm homologs have redundant functions and compensate for the loss of Scmh1, in this study we found that the phenotype of the Scml2-KO is distinct from that of the ",Scmh1,-KO and that the function of ,SCML2, is not redundant with that of SCMH1.,Not_a_complex
25703348_34,s2,T7,T9,"Although a previous study suggested that mammalian Scm homologs have redundant functions and compensate for the loss of Scmh1, in this study we found that the phenotype of the Scml2-KO is distinct from that of the ",Scmh1,-KO and that the function of SCML2 is not redundant with that of ,SCMH1,.,Not_a_complex
25703348_34,s2,T8,T9,"Although a previous study suggested that mammalian Scm homologs have redundant functions and compensate for the loss of Scmh1, in this study we found that the phenotype of the Scml2-KO is distinct from that of the Scmh1-KO and that the function of ",SCML2, is not redundant with that of ,SCMH1,.,Not_a_complex
25703348_34,s3,T10,T11,"Thus, ",SCML2, has a unique function in the germline that cannot be compensated by other ,MBT domain-containing, proteins.,Not_a_complex
25703348_34,s4,T12,T13,A recent study suggested that human ,SCML2," is expressed ubiquitously in somatic tissues, so it would be intriguing to examine the difference between human ",SCML2," and mouse SCML2.
",Not_a_complex
25703348_34,s4,T12,T14,A recent study suggested that human ,SCML2," is expressed ubiquitously in somatic tissues, so it would be intriguing to examine the difference between human SCML2 and mouse ",SCML2,".
",Not_a_complex
25703348_34,s4,T13,T14,"A recent study suggested that human SCML2 is expressed ubiquitously in somatic tissues, so it would be intriguing to examine the difference between human ",SCML2, and mouse ,SCML2,".
",Not_a_complex
