10358173,s0,T1,T2,IL-12 induces ,IFN regulating factor-1, (,IRF-1,") gene expression in human NK and T cells. 
",Not_a_complex
10358173,s0,T26,T1,,IL-12, induces ,IFN regulating factor-1," (IRF-1) gene expression in human NK and T cells. 
",Not_a_complex
10358173,s0,T26,T2,,IL-12, induces IFN regulating factor-1 (,IRF-1,") gene expression in human NK and T cells. 
",Not_a_complex
10358173,s1,T27,T28,,IL-12," is a critical immunoregulatory cytokine that promotes cell-mediated immune responses and the differentiation of naive CD4+ cells to Th1 cells; however, relatively few ",IL-12, target genes have been identified.,Not_a_complex
10358173,s1,T27,T3,,IL-12, is a critical immunoregulatory cytokine that promotes cell-mediated immune responses and the differentiation of naive ,CD4,"+ cells to Th1 cells; however, relatively few IL-12 target genes have been identified.",Not_a_complex
10358173,s1,T3,T28,IL-12 is a critical immunoregulatory cytokine that promotes cell-mediated immune responses and the differentiation of naive ,CD4,"+ cells to Th1 cells; however, relatively few ",IL-12, target genes have been identified.,Not_a_complex
10358173,s2,T29,T30,To better clarify the molecular basis of ,IL-12," action, we set out to characterize genes up-regulated by ",IL-12,", first by contrasting IL-12- and IFN-alpha-inducible genes.",Not_a_complex
10358173,s2,T29,T31,To better clarify the molecular basis of ,IL-12," action, we set out to characterize genes up-regulated by IL-12, first by contrasting ",IL-12,- and IFN-alpha-inducible genes.,Not_a_complex
10358173,s2,T29,T32,To better clarify the molecular basis of ,IL-12," action, we set out to characterize genes up-regulated by IL-12, first by contrasting IL-12- and ",IFN-alpha,-inducible genes.,Not_a_complex
10358173,s2,T30,T31,"To better clarify the molecular basis of IL-12 action, we set out to characterize genes up-regulated by ",IL-12,", first by contrasting ",IL-12,- and IFN-alpha-inducible genes.,Not_a_complex
10358173,s2,T30,T32,"To better clarify the molecular basis of IL-12 action, we set out to characterize genes up-regulated by ",IL-12,", first by contrasting IL-12- and ",IFN-alpha,-inducible genes.,Not_a_complex
10358173,s2,T31,T32,"To better clarify the molecular basis of IL-12 action, we set out to characterize genes up-regulated by IL-12, first by contrasting ",IL-12,- and ,IFN-alpha,-inducible genes.,Not_a_complex
10358173,s3,T33,T4,We identified several genes up-regulated by ,IL-12,", namely, ",MIP-1alpha,", MIP-1beta, IL-1RA, and IFN regulatory factor-1 (IRF-1).",Not_a_complex
10358173,s3,T4,T5,"We identified several genes up-regulated by IL-12, namely, ",MIP-1alpha,", ",MIP-1beta,", IL-1RA, and IFN regulatory factor-1 (IRF-1).",Not_a_complex
10358173,s3,T4,T6,"We identified several genes up-regulated by IL-12, namely, ",MIP-1alpha,", MIP-1beta, ",IL-1RA,", and IFN regulatory factor-1 (IRF-1).",Not_a_complex
10358173,s3,T4,T7,"We identified several genes up-regulated by IL-12, namely, ",MIP-1alpha,", MIP-1beta, IL-1RA, and ",IFN regulatory factor-1, (IRF-1).,Not_a_complex
