1763325,s2,T1,T2,,Hepatocyte nuclear factor-1 alpha, (,HNF-1 alpha,) is a homeodomain-containing protein that functions as a dimer.,Not_a_complex
1763325,s3,T3,T4,A ,dimerization cofactor of HNF-1 alpha, (,DCoH,") was identified that displayed a restricted tissue distribution and did not bind to DNA, but, rather, selectively stabilized HNF-1 alpha dimers.",Not_a_complex
1763325,s3,T3,T5,A ,dimerization cofactor of HNF-1 alpha," (DCoH) was identified that displayed a restricted tissue distribution and did not bind to DNA, but, rather, selectively stabilized ",HNF-1 alpha, dimers.,Not_a_complex
1763325,s3,T4,T5,A dimerization cofactor of HNF-1 alpha (,DCoH,") was identified that displayed a restricted tissue distribution and did not bind to DNA, but, rather, selectively stabilized ",HNF-1 alpha, dimers.,Not_a_complex
1763325,s4,T6,T7,The formation of a stable tetrameric ,DCoH,-,HNF-1 alpha," complex, which required the dimerization domain of HNF-1 alpha, did not change the DNA binding characteristics of HNF-1 alpha, but enhanced its transcriptional activity.",Complex_formation
1763325,s4,T6,T8,The formation of a stable tetrameric ,DCoH,"-HNF-1 alpha complex, which required the dimerization domain of ",HNF-1 alpha,", did not change the DNA binding characteristics of HNF-1 alpha, but enhanced its transcriptional activity.",Not_a_complex
1763325,s4,T6,T9,The formation of a stable tetrameric ,DCoH,"-HNF-1 alpha complex, which required the dimerization domain of HNF-1 alpha, did not change the DNA binding characteristics of ",HNF-1 alpha,", but enhanced its transcriptional activity.",Not_a_complex
1763325,s4,T7,T8,The formation of a stable tetrameric DCoH-,HNF-1 alpha," complex, which required the dimerization domain of ",HNF-1 alpha,", did not change the DNA binding characteristics of HNF-1 alpha, but enhanced its transcriptional activity.",Not_a_complex
1763325,s4,T7,T9,The formation of a stable tetrameric DCoH-,HNF-1 alpha," complex, which required the dimerization domain of HNF-1 alpha, did not change the DNA binding characteristics of ",HNF-1 alpha,", but enhanced its transcriptional activity.",Not_a_complex
1763325,s4,T8,T9,"The formation of a stable tetrameric DCoH-HNF-1 alpha complex, which required the dimerization domain of ",HNF-1 alpha,", did not change the DNA binding characteristics of ",HNF-1 alpha,", but enhanced its transcriptional activity.",Not_a_complex
1763325,s5,T10,T12,"However, ",DCoH, did not confer transcriptional activation to the ,GAL4, DNA binding domain.,Not_a_complex
