21059949,s0,T1,T2,Structural basis of oligomerization in septin-like GTPase of ,immunity-associated protein 2, (,GIMAP2,"). 
",Not_a_complex
21059949,s0,T9,T1,Structural basis of oligomerization in ,septin-like GTPase, of ,immunity-associated protein 2," (GIMAP2). 
",Not_a_complex
21059949,s0,T9,T2,Structural basis of oligomerization in ,septin-like GTPase, of immunity-associated protein 2 (,GIMAP2,"). 
",Not_a_complex
21059949,s1,T7,T10,,GTPases of immunity-associated proteins, (GIMAPs) are a distinctive family of ,GTPases,", which control apoptosis in lymphocytes and play a central role in lymphocyte maturation and lymphocyte-associated diseases.",Not_a_complex
21059949,s1,T7,T8,,GTPases of immunity-associated proteins, (,GIMAPs,") are a distinctive family of GTPases, which control apoptosis in lymphocytes and play a central role in lymphocyte maturation and lymphocyte-associated diseases.",Not_a_complex
21059949,s1,T8,T10,GTPases of immunity-associated proteins (,GIMAPs,) are a distinctive family of ,GTPases,", which control apoptosis in lymphocytes and play a central role in lymphocyte maturation and lymphocyte-associated diseases.",Not_a_complex
21059949,s3,T18,T4,Nucleotide-free and ,GDP,-bound ,GIMAP2, were monomeric and revealed a guanine nucleotide-binding domain of the TRAFAC (translation factor associated) class with a unique amphipathic helix alpha7 packing against switch II.,Not_a_complex
21059949,s4,T19,T5,In the absence of alpha7 and the presence of ,GTP,", ",GIMAP2, oligomerized via two distinct interfaces in the crystal.,Not_a_complex
21059949,s5,T20,T17,,GTP,"-induced stabilization of switch I mediates dimerization across the nucleotide-binding site, which also involves the ",GIMAP, specificity motif and the nucleotide base.,Not_a_complex
21059949,s9,T11,T12,Although earlier studies indicated that ,GIMAPs, are related to the ,septins,", the current structure also revealed a strikingly similar nucleotide coordination and dimerization mode as in the dynamin GTPase.",Not_a_complex
21059949,s9,T11,T13,Although earlier studies indicated that ,GIMAPs," are related to the septins, the current structure also revealed a strikingly similar nucleotide coordination and dimerization mode as in the ",dynamin GTPase,.,Not_a_complex
21059949,s9,T12,T13,Although earlier studies indicated that GIMAPs are related to the ,septins,", the current structure also revealed a strikingly similar nucleotide coordination and dimerization mode as in the ",dynamin GTPase,.,Not_a_complex
21059949,s10,T14,T15,"Based on this, we reexamined the relationships of the ",septin-, and ,dynamin-like GTPases, and demonstrate that these are likely to have emerged from a common membrane-associated dimerizing ancestor.,Not_a_complex
