20214800_12,s0,T25,T1,The interaction between full-length ,MOR, and ,GPR177, was verified in co-immunoprecipitation (CoIP) experiments.,Complex_formation
20214800_12,s1,T2,T26,"To demonstrate interaction, we tested the ability of an anti-",MOR, antibody to coimmunoprecipitate GPR177 from lysates prepared from HEK293 cells stably expressing FLAG-tagged ,MORs, (293-MOR cells) and transiently transfected with a FLAG/6x His-tagged GPR177 construct.,Not_a_complex
20214800_12,s1,T2,T3,"To demonstrate interaction, we tested the ability of an anti-",MOR, antibody to coimmunoprecipitate ,GPR177, from lysates prepared from HEK293 cells stably expressing FLAG-tagged MORs (293-MOR cells) and transiently transfected with a FLAG/6x His-tagged GPR177 construct.,Not_a_complex
20214800_12,s1,T2,T4,"To demonstrate interaction, we tested the ability of an anti-",MOR, antibody to coimmunoprecipitate GPR177 from lysates prepared from HEK293 cells stably expressing FLAG-tagged MORs (293-,MOR, cells) and transiently transfected with a FLAG/6x His-tagged GPR177 construct.,Not_a_complex
20214800_12,s1,T2,T5,"To demonstrate interaction, we tested the ability of an anti-",MOR, antibody to coimmunoprecipitate GPR177 from lysates prepared from HEK293 cells stably expressing FLAG-tagged MORs (293-MOR cells) and transiently transfected with a FLAG/6x His-tagged ,GPR177, construct.,Not_a_complex
20214800_12,s1,T3,T26,"To demonstrate interaction, we tested the ability of an anti-MOR antibody to coimmunoprecipitate ",GPR177, from lysates prepared from HEK293 cells stably expressing FLAG-tagged ,MORs, (293-MOR cells) and transiently transfected with a FLAG/6x His-tagged GPR177 construct.,Not_a_complex
20214800_12,s1,T3,T4,"To demonstrate interaction, we tested the ability of an anti-MOR antibody to coimmunoprecipitate ",GPR177, from lysates prepared from HEK293 cells stably expressing FLAG-tagged MORs (293-,MOR, cells) and transiently transfected with a FLAG/6x His-tagged GPR177 construct.,Not_a_complex
20214800_12,s1,T3,T5,"To demonstrate interaction, we tested the ability of an anti-MOR antibody to coimmunoprecipitate ",GPR177, from lysates prepared from HEK293 cells stably expressing FLAG-tagged MORs (293-MOR cells) and transiently transfected with a FLAG/6x His-tagged ,GPR177, construct.,Not_a_complex
20214800_12,s1,T26,T4,"To demonstrate interaction, we tested the ability of an anti-MOR antibody to coimmunoprecipitate GPR177 from lysates prepared from HEK293 cells stably expressing FLAG-tagged ",MORs, (293-,MOR, cells) and transiently transfected with a FLAG/6x His-tagged GPR177 construct.,Not_a_complex
20214800_12,s1,T4,T5,"To demonstrate interaction, we tested the ability of an anti-MOR antibody to coimmunoprecipitate GPR177 from lysates prepared from HEK293 cells stably expressing FLAG-tagged MORs (293-",MOR, cells) and transiently transfected with a FLAG/6x His-tagged ,GPR177, construct.,Not_a_complex
20214800_12,s1,T26,T5,"To demonstrate interaction, we tested the ability of an anti-MOR antibody to coimmunoprecipitate GPR177 from lysates prepared from HEK293 cells stably expressing FLAG-tagged ",MORs, (293-MOR cells) and transiently transfected with a FLAG/6x His-tagged ,GPR177, construct.,Not_a_complex
20214800_12,s3,T7,T8,"Preliminary Western blot analysis (Additional file 1, Figure S1A) revealed that the anti-",MOR, antibody specifically immunoprecipitated (IP) the ,mu-opioid receptor, from 293-MOR cells.,Not_a_complex
20214800_12,s3,T7,T9,"Preliminary Western blot analysis (Additional file 1, Figure S1A) revealed that the anti-",MOR, antibody specifically immunoprecipitated (IP) the mu-opioid receptor from 293-,MOR, cells.,Not_a_complex
20214800_12,s3,T8,T9,"Preliminary Western blot analysis (Additional file 1, Figure S1A) revealed that the anti-MOR antibody specifically immunoprecipitated (IP) the ",mu-opioid receptor, from 293-,MOR, cells.,Not_a_complex
20214800_12,s4,T10,T11,Lysates from transfected cells were immunoprecipitated using the anti-,MOR," antibody, and immunocomplexes probed with chicken anti-",GPR177, antibodies.,Not_a_complex
20214800_12,s5,T12,T13,"As shown in Figure 2B, an immunoreactive band of ~50 kDA, the predicted size of ",GPR177,", was detected in lysates prepared from transfected cells with the anti-",GPR177, antibody.,Not_a_complex
20214800_12,s6,T14,T15,"A band migrating with the identical molecular mass was detected in the IP lane, but not in IPs from cells lacking ",MOR, expression (-,MOR," lane), IPs from 293-MOR cells not transfected with GPR177 (-GPR lane), or mock IPs (mock lane).",Not_a_complex
20214800_12,s6,T14,T16,"A band migrating with the identical molecular mass was detected in the IP lane, but not in IPs from cells lacking ",MOR," expression (-MOR lane), IPs from 293-",MOR," cells not transfected with GPR177 (-GPR lane), or mock IPs (mock lane).",Not_a_complex
20214800_12,s6,T14,T17,"A band migrating with the identical molecular mass was detected in the IP lane, but not in IPs from cells lacking ",MOR," expression (-MOR lane), IPs from 293-MOR cells not transfected with ",GPR177," (-GPR lane), or mock IPs (mock lane).",Not_a_complex
20214800_12,s6,T14,T18,"A band migrating with the identical molecular mass was detected in the IP lane, but not in IPs from cells lacking ",MOR," expression (-MOR lane), IPs from 293-MOR cells not transfected with GPR177 (-",GPR," lane), or mock IPs (mock lane).",Not_a_complex
20214800_12,s6,T15,T16,"A band migrating with the identical molecular mass was detected in the IP lane, but not in IPs from cells lacking MOR expression (-",MOR," lane), IPs from 293-",MOR," cells not transfected with GPR177 (-GPR lane), or mock IPs (mock lane).",Not_a_complex
20214800_12,s6,T15,T17,"A band migrating with the identical molecular mass was detected in the IP lane, but not in IPs from cells lacking MOR expression (-",MOR," lane), IPs from 293-MOR cells not transfected with ",GPR177," (-GPR lane), or mock IPs (mock lane).",Not_a_complex
20214800_12,s6,T15,T18,"A band migrating with the identical molecular mass was detected in the IP lane, but not in IPs from cells lacking MOR expression (-",MOR," lane), IPs from 293-MOR cells not transfected with GPR177 (-",GPR," lane), or mock IPs (mock lane).",Not_a_complex
20214800_12,s6,T16,T17,"A band migrating with the identical molecular mass was detected in the IP lane, but not in IPs from cells lacking MOR expression (-MOR lane), IPs from 293-",MOR, cells not transfected with ,GPR177," (-GPR lane), or mock IPs (mock lane).",Not_a_complex
20214800_12,s6,T16,T18,"A band migrating with the identical molecular mass was detected in the IP lane, but not in IPs from cells lacking MOR expression (-MOR lane), IPs from 293-",MOR, cells not transfected with GPR177 (-,GPR," lane), or mock IPs (mock lane).",Not_a_complex
