7540942,s1,T2,T15,,CD30,", a member of the ",tumor necrosis factor (TNF) receptor," family, is expressed constitutively on the surface of the human T cell line ACH-2, which is chronically infected with human immunodeficiency virus type-1 (HIV)-1.",Not_a_complex
7540942,s2,T3,T5,We demonstrate that cross-linking ,CD30," with an anti-CD30-specific monoclonal antibody, which mimics the described biological activities of the ",CD30 ligand," (CD30L), results in HIV expression.",Complex_formation
7540942,s2,T3,T6,We demonstrate that cross-linking ,CD30," with an anti-CD30-specific monoclonal antibody, which mimics the described biological activities of the CD30 ligand (",CD30L,"), results in HIV expression.",Complex_formation
7540942,s2,T3,T4,We demonstrate that cross-linking ,CD30, with an anti-,CD30,"-specific monoclonal antibody, which mimics the described biological activities of the CD30 ligand (CD30L), results in HIV expression.",Not_a_complex
7540942,s2,T4,T5,We demonstrate that cross-linking CD30 with an anti-,CD30,"-specific monoclonal antibody, which mimics the described biological activities of the ",CD30 ligand," (CD30L), results in HIV expression.",Not_a_complex
7540942,s2,T4,T6,We demonstrate that cross-linking CD30 with an anti-,CD30,"-specific monoclonal antibody, which mimics the described biological activities of the CD30 ligand (",CD30L,"), results in HIV expression.",Not_a_complex
7540942,s2,T5,T6,"We demonstrate that cross-linking CD30 with an anti-CD30-specific monoclonal antibody, which mimics the described biological activities of the ",CD30 ligand, (,CD30L,"), results in HIV expression.",Not_a_complex
7540942,s3,T7,T18,,CD30, cross-linking does not alter proliferation of ACH-2 cells and the induction of HIV expression is not mediated by endogenous TNF alpha/,beta,.,Not_a_complex
7540942,s3,T7,T8,,CD30, cross-linking does not alter proliferation of ACH-2 cells and the induction of HIV expression is not mediated by endogenous ,TNF alpha,/beta.,Not_a_complex
7540942,s3,T8,T18,CD30 cross-linking does not alter proliferation of ACH-2 cells and the induction of HIV expression is not mediated by endogenous ,TNF alpha,/,beta,.,Not_a_complex
7540942,s4,T10,T9,"Furthermore, cross-linking of ",CD30, leads to ,NF-kappa B, activation and enhanced HIV transcription.,Not_a_complex
7540942,s5,T11,T12,"Thus, ",CD30,-,CD30L, interactions mediate the induction of HIV expression by a kappa B-dependent pathway that is independent of TNF.,Complex_formation
7540942,s5,T11,T14,"Thus, ",CD30,-CD30L interactions mediate the induction of HIV expression by a ,kappa B,-dependent pathway that is independent of TNF.,Not_a_complex
7540942,s5,T11,T17,"Thus, ",CD30,-CD30L interactions mediate the induction of HIV expression by a kappa B-dependent pathway that is independent of ,TNF,.,Not_a_complex
7540942,s5,T12,T14,"Thus, CD30-",CD30L, interactions mediate the induction of HIV expression by a ,kappa B,-dependent pathway that is independent of TNF.,Not_a_complex
7540942,s5,T12,T17,"Thus, CD30-",CD30L, interactions mediate the induction of HIV expression by a kappa B-dependent pathway that is independent of ,TNF,.,Not_a_complex
7540942,s5,T14,T17,"Thus, CD30-CD30L interactions mediate the induction of HIV expression by a ",kappa B,-dependent pathway that is independent of ,TNF,.,Not_a_complex
