9845517,s0,T1,T2,,Stat6, inhibits human ,interleukin-4," promoter activity in T cells. 
",Not_a_complex
9845517,s2,T3,T4,,Interleukin-4, (,IL-4,) plays a major role in this process by promoting the differentiation of IL-4-secreting Th2 cells.,Not_a_complex
9845517,s2,T3,T5,,Interleukin-4, (IL-4) plays a major role in this process by promoting the differentiation of ,IL-4,-secreting Th2 cells.,Not_a_complex
9845517,s2,T4,T5,Interleukin-4 (,IL-4,) plays a major role in this process by promoting the differentiation of ,IL-4,-secreting Th2 cells.,Not_a_complex
9845517,s4,T26,T25,,Nuclear factor of activated T cell, (,NFAT,) family members play a critical role in regulating IL-4 transcription and interact with up to five sequences (termed P0 through P4) in the IL-4 promoter.,Not_a_complex
9845517,s4,T25,T7,Nuclear factor of activated T cell (,NFAT,) family members play a critical role in regulating ,IL-4, transcription and interact with up to five sequences (termed P0 through P4) in the IL-4 promoter.,Not_a_complex
9845517,s4,T26,T7,,Nuclear factor of activated T cell, (NFAT) family members play a critical role in regulating ,IL-4, transcription and interact with up to five sequences (termed P0 through P4) in the IL-4 promoter.,Not_a_complex
9845517,s4,T7,T8,Nuclear factor of activated T cell (NFAT) family members play a critical role in regulating ,IL-4, transcription and interact with up to five sequences (termed P0 through P4) in the ,IL-4, promoter.,Not_a_complex
9845517,s4,T25,T8,Nuclear factor of activated T cell (,NFAT,) family members play a critical role in regulating IL-4 transcription and interact with up to five sequences (termed P0 through P4) in the ,IL-4, promoter.,Not_a_complex
9845517,s4,T26,T8,,Nuclear factor of activated T cell, (NFAT) family members play a critical role in regulating IL-4 transcription and interact with up to five sequences (termed P0 through P4) in the ,IL-4, promoter.,Not_a_complex
9845517,s5,T10,T11,The molecular mechanisms by which IL-4 induces expression of the ,IL-4," gene are not known, although the ",IL-4,-activated transcription factor signal transducer and activator of transcription 6 (Stat6) is required for this effect.,Not_a_complex
9845517,s5,T10,T12,The molecular mechanisms by which IL-4 induces expression of the ,IL-4," gene are not known, although the IL-4-activated transcription factor ",signal transducer and activator of transcription 6, (Stat6) is required for this effect.,Not_a_complex
9845517,s5,T10,T13,The molecular mechanisms by which IL-4 induces expression of the ,IL-4," gene are not known, although the IL-4-activated transcription factor signal transducer and activator of transcription 6 (",Stat6,) is required for this effect.,Not_a_complex
9845517,s5,T11,T12,"The molecular mechanisms by which IL-4 induces expression of the IL-4 gene are not known, although the ",IL-4,-activated transcription factor ,signal transducer and activator of transcription 6, (Stat6) is required for this effect.,Not_a_complex
9845517,s5,T11,T13,"The molecular mechanisms by which IL-4 induces expression of the IL-4 gene are not known, although the ",IL-4,-activated transcription factor signal transducer and activator of transcription 6 (,Stat6,) is required for this effect.,Not_a_complex
9845517,s5,T12,T13,"The molecular mechanisms by which IL-4 induces expression of the IL-4 gene are not known, although the IL-4-activated transcription factor ",signal transducer and activator of transcription 6, (,Stat6,) is required for this effect.,Not_a_complex
9845517,s5,T9,T10,The molecular mechanisms by which ,IL-4, induces expression of the ,IL-4," gene are not known, although the IL-4-activated transcription factor signal transducer and activator of transcription 6 (Stat6) is required for this effect.",Not_a_complex
9845517,s5,T9,T11,The molecular mechanisms by which ,IL-4," induces expression of the IL-4 gene are not known, although the ",IL-4,-activated transcription factor signal transducer and activator of transcription 6 (Stat6) is required for this effect.,Not_a_complex
9845517,s5,T9,T12,The molecular mechanisms by which ,IL-4," induces expression of the IL-4 gene are not known, although the IL-4-activated transcription factor ",signal transducer and activator of transcription 6, (Stat6) is required for this effect.,Not_a_complex
9845517,s5,T9,T13,The molecular mechanisms by which ,IL-4," induces expression of the IL-4 gene are not known, although the IL-4-activated transcription factor signal transducer and activator of transcription 6 (",Stat6,) is required for this effect.,Not_a_complex
9845517,s6,T14,T15,We report here that ,Stat6, interacts with three binding sites in the human ,IL-4, promoter by electrophoretic mobility shift assays.,Not_a_complex
9845517,s8,T16,T17,To investigate the role of ,Stat6, in regulating ,IL-4," transcription, we used Stat6-deficient Jurkat T cells with different intact IL-4 promoter constructs in cotransfection assays.",Not_a_complex
9845517,s8,T16,T18,To investigate the role of ,Stat6," in regulating IL-4 transcription, we used ",Stat6,-deficient Jurkat T cells with different intact IL-4 promoter constructs in cotransfection assays.,Not_a_complex
9845517,s8,T16,T19,To investigate the role of ,Stat6," in regulating IL-4 transcription, we used Stat6-deficient Jurkat T cells with different intact ",IL-4, promoter constructs in cotransfection assays.,Not_a_complex
9845517,s8,T17,T18,To investigate the role of Stat6 in regulating ,IL-4," transcription, we used ",Stat6,-deficient Jurkat T cells with different intact IL-4 promoter constructs in cotransfection assays.,Not_a_complex
9845517,s8,T17,T19,To investigate the role of Stat6 in regulating ,IL-4," transcription, we used Stat6-deficient Jurkat T cells with different intact ",IL-4, promoter constructs in cotransfection assays.,Not_a_complex
9845517,s8,T18,T19,"To investigate the role of Stat6 in regulating IL-4 transcription, we used ",Stat6,-deficient Jurkat T cells with different intact ,IL-4, promoter constructs in cotransfection assays.,Not_a_complex
9845517,s9,T20,T21,"We show that, whereas a multimerized response element from the germline IgE promoter was highly induced by ",IL-4, in ,Stat6,"-expressing Jurkat cells, the intact human IL-4 promoter was repressed under similar conditions.",Not_a_complex
9845517,s9,T20,T22,"We show that, whereas a multimerized response element from the germline IgE promoter was highly induced by ",IL-4," in Stat6-expressing Jurkat cells, the intact human ",IL-4, promoter was repressed under similar conditions.,Not_a_complex
9845517,s9,T27,T20,"We show that, whereas a multimerized response element from the germline ",IgE, promoter was highly induced by ,IL-4," in Stat6-expressing Jurkat cells, the intact human IL-4 promoter was repressed under similar conditions.",Not_a_complex
9845517,s9,T28,T20,,"We show that, whereas a multimerized response element from the", germline IgE promoter was highly induced by ,IL-4," in Stat6-expressing Jurkat cells, the intact human IL-4 promoter was repressed under similar conditions.",Not_a_complex
9845517,s9,T21,T22,"We show that, whereas a multimerized response element from the germline IgE promoter was highly induced by IL-4 in ",Stat6,"-expressing Jurkat cells, the intact human ",IL-4, promoter was repressed under similar conditions.,Not_a_complex
9845517,s9,T27,T21,"We show that, whereas a multimerized response element from the germline ",IgE, promoter was highly induced by IL-4 in ,Stat6,"-expressing Jurkat cells, the intact human IL-4 promoter was repressed under similar conditions.",Not_a_complex
9845517,s9,T28,T21,,"We show that, whereas a multimerized response element from the", germline IgE promoter was highly induced by IL-4 in ,Stat6,"-expressing Jurkat cells, the intact human IL-4 promoter was repressed under similar conditions.",Not_a_complex
9845517,s9,T27,T22,"We show that, whereas a multimerized response element from the germline ",IgE," promoter was highly induced by IL-4 in Stat6-expressing Jurkat cells, the intact human ",IL-4, promoter was repressed under similar conditions.,Not_a_complex
9845517,s9,T28,T22,,"We show that, whereas a multimerized response element from the"," germline IgE promoter was highly induced by IL-4 in Stat6-expressing Jurkat cells, the intact human ",IL-4, promoter was repressed under similar conditions.,Not_a_complex
9845517,s9,T28,T27,,"We show that, whereas a multimerized response element from the", germline ,IgE," promoter was highly induced by IL-4 in Stat6-expressing Jurkat cells, the intact human IL-4 promoter was repressed under similar conditions.",Not_a_complex
9845517,s10,T23,T24,We conclude that the function of ,Stat6, is highly dependent on promoter context and that this factor promotes ,IL-4, gene expression in an indirect manner.,Not_a_complex
